Cl,Mz,Mh
Y,Cx,631.07
Y,Cx,900.91
Y,Cx,535.83
Y,Cx,839.68
Y,Cx,771.66
Y,Cx,1546.03
X,Cx,928.12
X,Cx,929.25
X,Cx,826.08
X,Cx,981.41
X,Cx,809.07
X,Cx,1124.26
M,Cx,934.92
M,Cx,971.2
M,Cx,928.12
M,Cx,955.33
M,Cx,1208.16
M,Cx,1787.53
Y,C1,261.45
Y,C1,110.66
Y,C1,98.19
Y,C1,368.03
Y,C1,246.71
Y,C1,361.22
X,C1,154.88
X,C1,217.23
X,C1,117.46
X,C1,278.46
X,C1,178.68
X,C1,230.84
M,C1,51.7
M,C1,243.31
M,C1,117.46
M,C1,227.44
M,C1,346.49
M,C1,242.18
M,FPA,385.0340136
Y,FPA,116.3265306
Y,FPA,560.7709751
Y,FPA,649.2063492
Y,FPA,946.2585034
Y,FPA,694.5578231
X,FPA,601.5873016
X,FPA,158.276644
X,FPA,954.1950113
X,FPA,573.2426304
X,FPA,414.5124717
X,FPA,436.0544218
M,FPA,112.9251701
M,FPA,258.0498866
M,FPA,247.845805
M,FPA,458.7301587
M,FPA,1056.235828
M,FPA,1508.61678
