Treatment,Weight gain,Time
Treatment1,0.177103448,5d
Treatment1,0.297833333,10d
Treatment1,0.375214286,15d
Treatment1,0.46,20d
Treatment1,0.621473684,25d
Treatment1,0.733944444,30d
Treatment1,0.921611111,35d
Treatment2,0.1384,5d
Treatment2,0.2388,10d
Treatment2,0.314576923,15d
Treatment2,0.444181818,20d
Treatment2,0.792428571,25d
Treatment2,1.202681818,30d
Treatment2,1.705590909,35d
Treatment3,0.169333333,5d
Treatment3,0.312966667,10d
Treatment3,0.411678571,15d
Treatment3,0.641695652,20d
Treatment3,1.091181818,25d
Treatment3,1.715478261,30d
Treatment3,2.213652174,35d
Treatment4,0.156766667,5d
Treatment4,0.2912,10d
Treatment4,0.419821429,15d
Treatment4,0.604375,20d
Treatment4,1.127833333,25d
Treatment4,1.554541667,30d
Treatment4,2.44075,35d
Treatment5,0.1613,5d
Treatment5,0.323866667,10d
Treatment5,0.394034483,15d
Treatment5,0.479458333,20d
Treatment5,0.882,25d
Treatment5,1.519227273,30d
Treatment5,2.280045455,35d
Treatment6,0.1755,5d
Treatment6,0.3125,10d
Treatment6,0.4051,15d
Treatment6,0.58195,20d
Treatment6,1.011947368,25d
Treatment6,1.229882353,30d
Treatment6,1.641,35d
Treatment7,0.172833333,5d
Treatment7,0.340633333,10d
Treatment7,0.49962069,15d
Treatment7,0.709,20d
Treatment7,1.224884615,25d
Treatment7,1.80588,30d
Treatment7,2.90944,35d
Treatment8,0.1934,5d
Treatment8,0.3842,10d
Treatment8,0.463192308,15d
Treatment8,0.75195,20d
Treatment8,0.877105263,25d
Treatment8,0.950411765,30d
Treatment8,1.056764706,35d
Treatment9,0.2691,5d
Treatment9,0.3472,10d
Treatment9,0.4426,15d
Treatment9,0.65475,20d
Treatment9,1.28237037,25d
Treatment9,2.008230769,30d
Treatment9,3.036961538,35d
TreatmentG,0.269366667,5d
TreatmentG,0.3472,10d
TreatmentG,0.4413,15d
TreatmentG,0.65475,20d
TreatmentG,1.285814815,25d
TreatmentG,2.008230769,30d
TreatmentG,3.253961538,35d
