Genus,Abundance,Food
Bacillus,7,Y
Lysinibacillus,2,Y
Weissella,1,Y
Enterococcus,3,Y
Lactococcus,4,Y
Lactobacillus,0,Y
Paenibacillus,0,Y
Pseudomonas,2,Y
Stenotrophomonas,1,Y
Acinetobacter,2,Y
Providencia,1,Y
Raoultella,1,Y
Klebsiella,2,Y
Enterobacter,2,Y
Citrobacter,0,Y
Serratia,2,Y
Bacillus,5,X
Lysinibacillus,0,X
Weissella,0,X
Enterococcus,7,X
Lactococcus,3,X
Lactobacillus,2,X
Paenibacillus,0,X
Pseudomonas,3,X
Stenotrophomonas,1,X
Acinetobacter,0,X
Providencia,0,X
Raoultella,1,X
Klebsiella,4,X
Enterobacter,0,X
Citrobacter,1,X
Serratia,2,X
Bacillus,3,M
Lysinibacillus,0,M
Weissella,0,M
Enterococcus,6,M
Lactococcus,0,M
Lactobacillus,0,M
Paenibacillus,1,M
Pseudomonas,1,M
Stenotrophomonas,1,M
Acinetobacter,0,M
Providencia,0,M
Raoultella,4,M
Klebsiella,2,M
Enterobacter,4,M
Citrobacter,3,M
Serratia,2,M
